level,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 18+_2022,Percent ages 18+_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020
state,Connecticut,3611317,742877,0.21,2868440,0.79,629108,0.17,2308644,0.64,355970,0.1,627408,0.17,319295,0.09,542964,0.15,1409807,932588,0.66,480042,0.35,3507563,355692,0.1,786615,0.22,733553,98183,0.13,210923,0.29,609617,48446,0.08,132552,0.22,80.3,0.052,0.111,0.094,0.297,0.248,0.112,0.754,0.704,0.08,0.139,0.336
lower_legis,State House District 1,21973,5290,0.24,16683,0.76,2584,0.12,4179,0.19,10485,0.48,5809,0.26,1500,0.07,4779,0.22,10107,1864,0.18,4957,0.52,21577,5331,0.25,11137,0.52,5177,1365,0.26,3198,0.62,2481,600,0.24,1038,0.42,77.1,0.056,0.147,0.149,0.353,0.367,0.165,0.769,0.527,0.145,0.199,0.42
lower_legis,State House District 10,22805,4439,0.19,18366,0.81,3428,0.15,8190,0.36,5390,0.24,7850,0.34,1375,0.06,3575,0.16,9296,5583,0.6,3474,0.39,22450,3036,0.14,7671,0.34,4359,535,0.12,1924,0.44,3236,634,0.2,1146,0.35,76.6,0.064,0.129,0.133,0.354,0.336,0.157,0.771,0.594,0.129,0.181,0.384
lower_legis,State House District 100,22911,4040,0.18,18871,0.82,4540,0.2,15048,0.66,3191,0.14,2898,0.13,1774,0.08,2270,0.1,10221,5660,0.55,3945,0.39,22120,3166,0.14,6404,0.29,4021,808,0.2,1692,0.42,4135,386,0.09,932,0.23,78.7,0.055,0.118,0.097,0.295,0.266,0.117,0.772,0.68,0.075,0.151,0.327
lower_legis,State House District 101,22964,4290,0.19,18674,0.81,5307,0.23,20575,0.9,93,0,539,0.02,1757,0.08,1436,0.06,9076,8196,0.9,2275,0.25,22789,747,0.03,1597,0.07,4252,78,0.02,131,0.03,5219,223,0.04,591,0.11,82.2,0.051,0.101,0.081,0.301,0.197,0.09,0.78,0.8,0.036,0.104,0.303
lower_legis,State House District 102,23244,3535,0.15,19709,0.85,5838,0.25,19385,0.83,648,0.03,1659,0.07,1552,0.07,2293,0.1,10987,7116,0.65,3874,0.36,23017,1659,0.07,3997,0.17,3504,333,0.1,606,0.17,5647,413,0.07,1180,0.21,80,0.057,0.104,0.092,0.319,0.236,0.111,0.767,0.752,0.052,0.132,0.33
lower_legis,State House District 103,24049,4541,0.19,19508,0.81,4223,0.18,17593,0.73,1455,0.06,1676,0.07,3325,0.14,2760,0.11,8598,7396,0.86,2125,0.26,22237,1006,0.05,2195,0.1,4430,163,0.04,374,0.08,4020,304,0.08,597,0.15,81.2,0.048,0.102,0.076,0.283,0.211,0.09,0.757,0.779,0.047,0.11,0.322
lower_legis,State House District 104,23982,4639,0.19,19343,0.81,4467,0.19,12368,0.52,2995,0.12,7268,0.3,1351,0.06,4128,0.17,10344,5305,0.51,4089,0.41,23977,3267,0.14,7167,0.3,4639,761,0.16,2012,0.43,4465,786,0.18,1431,0.32,76.5,0.057,0.116,0.104,0.317,0.284,0.131,0.743,0.656,0.098,0.186,0.373
lower_legis,State House District 105,23460,4512,0.19,18948,0.81,4434,0.19,18048,0.77,1133,0.05,2923,0.12,1356,0.06,1982,0.08,9378,7184,0.77,3092,0.34,23252,1345,0.06,3351,0.14,4474,352,0.08,708,0.16,4277,261,0.06,769,0.18,78,0.053,0.11,0.091,0.304,0.25,0.113,0.745,0.711,0.071,0.162,0.354
lower_legis,State House District 106,25336,5656,0.22,19680,0.78,4893,0.19,20686,0.82,666,0.03,2477,0.1,1507,0.06,1809,0.07,8920,8061,0.9,2540,0.29,24856,1097,0.04,2659,0.11,5656,320,0.06,669,0.12,4770,234,0.05,550,0.12,82.8,0.044,0.097,0.067,0.253,0.172,0.08,0.731,0.784,0.046,0.102,0.292
lower_legis,State House District 107,24457,5256,0.21,19201,0.79,4632,0.19,19399,0.79,480,0.02,2516,0.1,2062,0.08,3393,0.14,8777,7654,0.87,2389,0.27,24176,856,0.04,2008,0.08,5191,254,0.05,501,0.1,4420,156,0.04,391,0.09,82.2,0.048,0.099,0.071,0.261,0.185,0.087,0.733,0.773,0.049,0.106,0.294
lower_legis,State House District 108,25342,5064,0.2,20278,0.8,4780,0.19,18990,0.75,701,0.03,3401,0.13,2250,0.09,2979,0.12,9040,8017,0.89,2937,0.33,24331,1385,0.06,3395,0.14,4888,215,0.04,827,0.17,4729,327,0.07,610,0.13,82.2,0.047,0.102,0.074,0.261,0.196,0.092,0.729,0.746,0.06,0.119,0.309
lower_legis,State House District 109,23685,5607,0.24,18078,0.76,3405,0.14,9655,0.41,3746,0.16,7327,0.31,2957,0.12,8175,0.35,8136,4942,0.61,3643,0.46,23004,2278,0.1,7135,0.31,5549,827,0.15,2518,0.45,3287,279,0.08,773,0.24,81,0.045,0.108,0.08,0.245,0.238,0.104,0.694,0.651,0.126,0.15,0.334
lower_legis,State House District 11,24033,5683,0.24,18350,0.76,2491,0.1,6675,0.28,6000,0.25,7639,0.32,3719,0.15,5834,0.24,9880,3804,0.39,3876,0.4,23911,3056,0.13,8704,0.36,5571,1109,0.2,2960,0.53,2491,204,0.08,606,0.24,78,0.052,0.122,0.112,0.314,0.293,0.128,0.759,0.628,0.109,0.159,0.375
lower_legis,State House District 110,24781,5123,0.21,19658,0.79,2923,0.12,7905,0.32,3031,0.12,10680,0.43,3165,0.13,11146,0.45,9635,3088,0.32,4504,0.48,24495,4058,0.17,10001,0.41,4989,1172,0.23,2877,0.58,2829,581,0.21,1381,0.49,80.8,0.044,0.109,0.082,0.239,0.249,0.106,0.685,0.626,0.151,0.156,0.34
lower_legis,State House District 111,23262,5929,0.25,17333,0.75,4401,0.19,19437,0.84,479,0.02,1409,0.06,1937,0.08,2874,0.12,8606,7288,0.85,2882,0.34,23146,872,0.04,2787,0.12,5929,210,0.04,937,0.16,4314,295,0.07,686,0.16,82.8,0.044,0.095,0.066,0.253,0.157,0.074,0.746,0.816,0.034,0.078,0.273
lower_legis,State House District 112,24057,6004,0.25,18053,0.75,3878,0.16,20877,0.87,243,0.01,1139,0.05,1798,0.07,2666,0.11,7922,7278,0.92,2213,0.28,24057,639,0.03,1335,0.06,6004,185,0.03,298,0.05,3878,34,0.01,273,0.07,82,0.05,0.098,0.072,0.269,0.188,0.09,0.74,0.777,0.048,0.103,0.29
lower_legis,State House District 113,25152,4369,0.17,20783,0.83,4570,0.18,17205,0.68,1202,0.05,3365,0.13,3380,0.13,3651,0.15,9763,7363,0.75,2268,0.24,24972,1081,0.04,3057,0.12,4367,252,0.06,574,0.13,4407,242,0.05,786,0.18,81.2,0.053,0.101,0.077,0.276,0.207,0.1,0.735,0.749,0.059,0.116,0.3
lower_legis,State House District 114,23245,5093,0.22,18152,0.78,4848,0.21,17138,0.74,1019,0.04,2189,0.09,2899,0.12,3572,0.15,8838,7812,0.88,2439,0.28,23045,738,0.03,2777,0.12,5060,71,0.01,578,0.11,4708,185,0.04,576,0.12,80.8,0.053,0.105,0.092,0.312,0.234,0.107,0.765,0.744,0.06,0.13,0.339
lower_legis,State House District 115,22896,4398,0.19,18498,0.81,3230,0.14,11892,0.52,3474,0.15,6090,0.27,1440,0.06,4031,0.18,9488,3845,0.41,3955,0.43,22154,2785,0.13,6846,0.31,4386,383,0.09,1796,0.41,3155,227,0.07,650,0.21,78.1,0.053,0.113,0.1,0.312,0.268,0.122,0.747,0.675,0.091,0.17,0.37
lower_legis,State House District 116,21988,5045,0.23,16943,0.77,2586,0.12,6814,0.31,5176,0.24,7610,0.35,2388,0.11,5730,0.26,7010,3381,0.48,2866,0.41,19027,2528,0.13,6623,0.35,4989,783,0.16,2356,0.47,2505,184,0.07,553,0.22,77.6,0.046,0.118,0.101,0.296,0.273,0.117,0.739,0.641,0.109,0.171,0.392
lower_legis,State House District 117,24218,3872,0.16,20346,0.84,5734,0.24,20860,0.86,550,0.02,1817,0.08,991,0.04,2115,0.09,9754,8223,0.84,2840,0.3,24022,1001,0.04,2247,0.09,3853,100,0.03,284,0.07,5560,255,0.05,829,0.15,79.7,0.052,0.105,0.091,0.309,0.232,0.106,0.76,0.739,0.062,0.137,0.344
lower_legis,State House District 118,22325,3648,0.16,18677,0.84,4546,0.2,18446,0.83,521,0.02,1684,0.08,1674,0.07,2292,0.1,10146,6595,0.65,3515,0.36,22150,1202,0.05,3115,0.14,3599,79,0.02,367,0.1,4467,385,0.09,772,0.17,80.1,0.048,0.103,0.082,0.291,0.214,0.095,0.753,0.761,0.051,0.127,0.334
