level,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020
state,Connecticut,3611317,742877,0.21,629108,0.17,2308644,0.64,355970,0.1,627408,0.17,319295,0.09,542964,0.15,1409807,932588,0.66,480042,0.35,3507563,355692,0.1,786615,0.22,733553,98183,0.13,210923,0.29,609617,48446,0.08,132552,0.22,80.3,0.052,0.111,0.094,0.297,0.248,0.112,0.754,0.704,0.08,0.139,0.336
upper_legis,State Senate District 1,94997,21590,0.23,12654,0.13,28141,0.3,15584,0.16,46438,0.49,4834,0.05,18908,0.2,38003,15020,0.4,16938,0.47,91984,20690,0.22,37783,0.41,21268,7132,0.34,11747,0.55,12332,2431,0.2,5067,0.41,78.1,0.06,0.13,0.139,0.334,0.352,0.159,0.758,0.568,0.169,0.179,0.379
upper_legis,State Senate District 10,99482,23417,0.24,9826,0.1,28267,0.28,34092,0.34,28404,0.29,8719,0.09,18746,0.19,34739,10714,0.31,16709,0.5,90730,22024,0.24,42405,0.47,23011,7546,0.33,14561,0.63,9552,1543,0.16,3281,0.34,77.2,0.048,0.127,0.118,0.314,0.303,0.136,0.745,0.594,0.125,0.188,0.41
upper_legis,State Senate District 11,95520,16936,0.18,13677,0.14,46531,0.49,14543,0.15,25670,0.27,8776,0.09,15706,0.16,39067,15309,0.39,16396,0.44,85729,15796,0.18,29732,0.35,16641,4342,0.26,7830,0.47,13163,1876,0.14,4976,0.38,80.3,0.044,0.112,0.09,0.272,0.252,0.104,0.735,0.679,0.101,0.141,0.359
upper_legis,State Senate District 12,97553,17479,0.18,24013,0.25,85429,0.88,1377,0.01,4453,0.05,6294,0.06,6915,0.07,40624,32849,0.81,12573,0.31,96951,4146,0.04,11921,0.12,17416,522,0.03,1755,0.1,23558,1372,0.06,4259,0.18,81.7,0.054,0.103,0.087,0.311,0.219,0.102,0.773,0.773,0.045,0.121,0.318
upper_legis,State Senate District 13,98181,21069,0.21,16723,0.17,57256,0.58,6420,0.07,25387,0.26,9118,0.09,10328,0.11,39907,26512,0.66,13201,0.34,96836,11731,0.12,25828,0.27,21005,3966,0.19,8340,0.4,15696,1341,0.09,3789,0.24,79.8,0.049,0.108,0.089,0.288,0.241,0.105,0.752,0.712,0.081,0.144,0.341
upper_legis,State Senate District 14,94495,17395,0.18,19112,0.2,73975,0.78,3750,0.04,9797,0.1,6973,0.07,10644,0.11,38370,28554,0.74,11967,0.32,93915,5017,0.05,12177,0.13,17315,639,0.04,2046,0.12,18690,1013,0.05,2676,0.14,80,0.051,0.105,0.089,0.303,0.229,0.104,0.757,0.743,0.06,0.135,0.341
upper_legis,State Senate District 15,104993,23787,0.23,14186,0.14,36270,0.35,26824,0.26,33225,0.32,8674,0.08,19605,0.19,41681,19258,0.46,17781,0.45,103390,20853,0.2,42363,0.41,23245,6341,0.27,12178,0.52,13825,1841,0.13,4634,0.34,77.7,0.061,0.122,0.123,0.331,0.319,0.153,0.744,0.605,0.136,0.204,0.389
upper_legis,State Senate District 16,102121,21543,0.21,19253,0.19,73120,0.72,7270,0.07,13711,0.13,8020,0.08,12003,0.12,39266,29417,0.75,10983,0.29,99438,6995,0.07,17400,0.17,21077,2050,0.1,4676,0.22,18752,1071,0.06,3893,0.21,79.7,0.054,0.11,0.094,0.311,0.251,0.113,0.76,0.719,0.071,0.145,0.344
upper_legis,State Senate District 17,100171,19990,0.2,17149,0.17,56908,0.57,15766,0.16,19222,0.19,8275,0.08,14737,0.15,39328,26743,0.68,13117,0.34,98619,7951,0.08,19494,0.2,19716,1951,0.1,4869,0.25,16585,1440,0.09,3558,0.21,79.4,0.05,0.11,0.09,0.299,0.242,0.107,0.752,0.721,0.068,0.144,0.352
